Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword
A1000,CyberSecurtyFundamentals,104.0,4498.0,$231.88,14.0,7.0,0.058,$1892,2024-11-16,poona,desktop,learn data analytics
A1001,SQLDatabseTraining,173.0,5107.0,$216.84,10.0,8.0,0.046,$1679,20-11-2024,new delhi,mobile,data analytics course
A1002,Python4D@ta,90.0,4544.0,$203.66,26.0,9.0,,$1624,2024/11/16,poona,Desktop,data analitics online
A1003,AI_Marketing1011,142.0,3185.0,$237.66,17.0,6.0,,$1225,2024-11-26,Bombay,tablet,data anaytics training
A1004,SQLDatabseTraining1,156.0,3361.0,$195.9,30.0,8.0,,$1091,2024-11-22,Bombay,desktop,online data analytic
A1005,ai_mARKETING101,195.0,3776.0,$243.57,10.0,8.0,,$1315,16-11-2024,NewDlhi,MOBILE,data anaytics training
A1006,SQLD@tabseTraining,116.0,4480.0,$237.79,17.0,5.0,0.043,$1640,06-11-2024,delhi,TABLET,data analytics course
A1007,Python4Data,184.0,5060.0,$229.61,23.0,3.0,0.016,$1509,2024/11/24,delhi,TABLET,analytics for data
A1008,Machn3LearningBasics,113.0,5434.0,,27.0,4.0,0.058,$1362,2024/11/24,MUMBAI,Tablet,data anaytics training
A1009,W3bDevMastery,166.0,3355.0,$186.78,24.0,9.0,0.054,$1029,2024/11/12,mumbai,Mobile,online data analytic
A1010,W3bDevMastery,101.0,5399.0,$236.79,20.0,6.0,0.059,$1900,14-11-2024,chenay,DESKTOP,learn data analytics
A1011,D3epLearnngPro,101.0,3613.0,$208.12,24.0,5.0,0.05,$1130,2024/11/22,DELHI,Desktop,online data analytic
A1012,pYTHON4dATA,125.0,3259.0,$191.3,18.0,3.0,0.024,$1959,2024/11/27,chnnai,DESKTOP,data analitics online
A1013,Python4Data,196.0,3742.0,$207.46,10.0,7.0,0.038,$1623,12-11-2024,mumbai,mobile,data anaytics training
A1014,Webdevmastery,181.0,4311.0,$185.09,11.0,9.0,0.05,$1538,2024-11-04,punr,Desktop,data anaytics training
A1015,W3bDevMastery,102.0,5461.0,$201.69,22.0,8.0,0.078,$1755,2024-11-29,mumbai,desktop,data analytics course
A1016,SQLD@tabseTraining,193.0,5159.0,,15.0,9.0,0.047,$1614,2024-11-10,CHENNAI,Mobile,learn data analytics
