Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword
A1000,CyberSecurtyFundamentals,104.0,4498.0,231.88,14.0,7.0,0.058,1892.0,2024-11-16,Pune,Desktop,learn data analytics
A1001,SQLDatabseTraining,173.0,5107.0,216.84,10.0,8.0,0.046,1679.0,2024-11-20,New Delhi,Mobile,data analytics course
A1002,Python4D@ta,90.0,4544.0,203.66,26.0,9.0,0.09122252747252749,1624.0,2024-11-16,Pune,Desktop,data analitics online
A1003,AI_Marketing1011,142.0,3185.0,237.66,17.0,6.0,0.04225352112676056,1225.0,2024-11-26,Mumbai,Tablet,data anaytics training
A1004,SQLDatabseTraining1,156.0,3361.0,195.9,30.0,8.0,0.05128205128205128,1091.0,2024-11-22,Mumbai,Desktop,online data analytic
A1005,ai_mARKETING101,195.0,3776.0,243.57,10.0,8.0,0.041025641025641026,1315.0,2024-11-16,New Delhi,Mobile,data anaytics training
A1006,SQLD@tabseTraining,116.0,4480.0,237.79,17.0,5.0,0.043,1640.0,2024-11-06,Delhi,Tablet,data analytics course
A1007,Python4Data,184.0,5060.0,229.61,23.0,3.0,0.016,1509.0,2024-11-24,Delhi,Tablet,analytics for data
A1008,Machn3LearningBasics,113.0,5434.0,216.48,27.0,4.0,0.058,1362.0,2024-11-24,Mumbai,Tablet,data anaytics training
A1009,W3bDevMastery,166.0,3355.0,186.78,24.0,9.0,0.054,1029.0,2024-11-12,Mumbai,Mobile,online data analytic
A1010,W3bDevMastery,101.0,5399.0,236.79,20.0,6.0,0.059,1900.0,2024-11-14,Chennai,Desktop,learn data analytics
A1011,D3epLearnngPro,101.0,3613.0,208.12,24.0,5.0,0.05,1130.0,2024-11-22,Delhi,Desktop,online data analytic
A1012,pYTHON4dATA,125.0,3259.0,191.3,18.0,3.0,0.024,1959.0,2024-11-27,Chennai,Desktop,data analitics online
A1013,Python4Data,196.0,3742.0,207.46,10.0,7.0,0.038,1623.0,2024-11-12,Mumbai,Mobile,data anaytics training
A1014,Webdevmastery,181.0,4311.0,185.09,11.0,9.0,0.05,1538.0,2024-11-04,Pune,Desktop,data anaytics training
A1015,W3bDevMastery,102.0,5461.0,201.69,22.0,8.0,0.078,1755.0,2024-11-29,Mumbai,Desktop,data analytics course
A1016,SQLD@tabseTraining,193.0,5159.0,218.27999999999997,15.0,9.0,0.047,1614.0,2024-11-10,Chennai,Mobile,learn data analytics
A1017,CyberSecurtyFund@mentals,149.0,4431.0,207.4,19.0,9.0,0.06,1693.0,2024-11-12,Mumbai,Mobile,learn data analytics
A1018,SQLD@tabseTraining,150.0,3113.0,217.41,20.0,5.0,0.03333333333333333,1785.0,2024-11-07,Delhi,Mobile,analytics for data
A1019,CloudComputngCours3,145.0,5278.0,220.13,25.0,6.0,0.041,1516.0,2024-11-05,Chennai,Desktop,data analytics course
A1020,Cybersecurtyfundamentals,184.0,4143.0,223.3,10.0,10.0,0.044,1735.0,2024-11-21,Chennai,Tablet,learn data analytics
A1021,mACHNElEARNINGbASICS,171.0,4154.0,184.23,30.0,7.0,0.041,1803.0,2024-11-08,Pune,Tablet,data analitics online
A1022,DataSci3nceBootcamp,122.0,5187.0,211.24,27.0,6.0,0.049,1322.0,2024-11-20,Pune,Desktop,online data analytic
A1023,D@taScienceBootcamp,188.0,5798.0,230.17,28.0,5.0,0.047,1452.0,2024-11-30,Delhi,Tablet,data analytics course
A1024,DataSci3nceBootcamp,87.0,3718.0,216.48,12.0,3.0,0.034,1652.0,2024-11-20,Mumbai,Tablet,learn data analytics
A1025,Python4Data,88.0,3349.0,181.92,22.0,8.0,0.091,1456.0,2024-11-20,Bangalore,Tablet,learn data analytics
A1026,dEEPlEARNNGpRO,119.0,5323.0,205.92,17.0,10.0,0.06,1656.0,2024-11-02,Pune,Desktop,online data analytic
A1027,Machn3LearningBasics,137.0,5286.0,234.89,22.0,10.0,0.05,1688.0,2024-11-21,Delhi,Desktop,data anaytics training
A1028,Python4data,128.0,5469.0,188.49,16.0,3.0,0.0234375,1783.0,2024-11-23,Pune,Mobile,learn data analytics
A1029,dATAsCIENCEbOOTCAMP,86.0,3351.0,237.75,21.0,9.0,0.09122252747252749,1975.0,2024-11-13,Chennai,Mobile,analytics for data
A1030,Python4D@ta,188.0,4834.0,213.58,15.0,4.0,0.021,1590.0,2024-11-08,Mumbai,Tablet,online data analytic
A1031,DeepLearnngPro1,113.0,5065.0,212.37,11.0,5.0,0.04424778761061947,1111.0,2024-11-22,Mumbai,Desktop,online data analytic
A1032,Busin3ssAnlyticsClass,136.0,3872.0,244.38,20.0,4.0,0.047,1041.0,2024-11-12,Pune,Tablet,data analitics online
A1033,DataSci3nceBootcamp,176.0,5509.0,234.59,19.0,7.0,0.054,1710.0,2024-11-03,Chennai,Tablet,data analytics course
A1034,Cyb3rSecurtyFundamentals,121.0,5610.0,214.96,23.0,8.0,0.06611570247933884,1472.5,2024-11-25,Delhi,Mobile,data analytics course
A1035,sqldATABSEtRAINING,104.0,5275.0,236.48,16.0,9.0,0.031,1824.0,2024-11-01,Mumbai,Desktop,data anaytics training
A1036,BusinessAnlyticsCl@ss,146.0,5939.0,242.9,11.0,8.0,0.035,1833.0,2024-11-07,Bangalore,Desktop,data anaytics training
A1037,Businessanlyticsclass,123.0,5131.0,217.98,19.0,5.0,0.041,1307.0,2024-11-09,Bangalore,Mobile,learn data analytics
A1038,AI_Marketing101_,90.0,5786.0,197.55,11.0,6.0,0.043,1704.0,2024-11-16,New Delhi,Mobile,online data analytic
A1039,CyberSecurtyFundamentals_,171.0,4304.0,192.61,17.0,10.0,0.058,1427.0,2024-11-26,Chennai,Mobile,learn data analytics
A1040,DeepLearnngPr0,94.0,5549.0,231.23,25.0,9.0,0.09122252747252749,1849.0,2024-11-12,Chennai,Mobile,data anaytics training
A1041,AI_M@rketing101,112.0,4271.0,196.07,27.0,6.0,0.05357142857142857,1209.0,2024-11-14,Bangalore,Desktop,data analitics online
A1042,M@chneLearningBasics,113.0,4418.0,191.55,27.0,10.0,0.08849557522123894,1634.0,2024-11-09,Pune,Mobile,data analytics course
A1043,AI_Mark3ting101,145.0,3721.0,180.95,21.0,7.0,0.048,1960.0,2024-11-29,Chennai,Desktop,data analitics online
A1044,Machn3LearningBasics,197.0,5783.0,204.46,23.0,6.0,0.030456852791878174,1729.0,2024-11-01,Pune,Tablet,data anaytics training
A1045,BusinessAnlyticsClass ,109.0,4866.0,236.78,27.0,5.0,0.045871559633027525,1585.0,2024-11-15,Chennai,Mobile,online data analytic
A1046,CyberSecurtyFund@mentals,188.0,5857.0,222.98,20.0,4.0,0.048,1303.0,2024-11-11,Mumbai,Desktop,data anaytics training
A1047,Cloudcomputngcourse,142.0,5103.0,234.1,24.0,3.0,0.021,1835.0,2024-11-08,Bangalore,Mobile,analytics for data
A1048,Ai_marketing101,168.0,4653.0,240.84,27.0,9.0,0.054,1367.0,2024-11-24,Bangalore,Mobile,online data analytic
A1049,cLOUDcOMPUTNGcOURSE,110.0,3524.0,248.86,19.0,10.0,0.091,1524.0,2024-11-21,Delhi,Mobile,learn data analytics
A1050,sqldATABSEtRAINING,192.0,5938.0,182.84,26.0,5.0,0.039,1080.0,2024-11-12,Delhi,Mobile,analytics for data
A1051,CloudComputngCourse,101.0,3942.0,206.62,16.0,5.0,0.05,1746.0,2024-11-24,Chennai,Tablet,analytics for data
A1052,Ai_marketing101,157.0,3315.0,189.56,15.0,10.0,0.064,1026.0,2024-11-25,Mumbai,Mobile,online data analytic
A1053,Python4Data1,113.0,4945.0,187.66,15.0,10.0,0.08849557522123894,1564.0,2024-11-26,Bangalore,Tablet,learn data analytics
A1054,WebDevMastery ,96.0,3166.0,196.15,29.0,7.0,0.073,1902.0,2024-11-26,New Delhi,Desktop,learn data analytics
A1055,AI_Marketing1011,125.0,4223.0,183.68,15.0,6.0,0.048,1267.0,2024-11-05,Pune,Desktop,data analitics online
A1056,Cyb3rSecurtyFundamentals,104.0,4798.0,210.1,18.0,3.0,0.028846153846153848,1340.0,2024-11-21,New Delhi,Desktop,analytics for data
A1057,Cyb3rSecurtyFundamentals,194.0,5655.0,208.58,13.0,6.0,0.031,1692.0,2024-11-16,Chennai,Mobile,data anaytics training
A1058,Cybersecurtyfundamentals,144.0,5140.0,219.48,19.0,8.0,0.047,1054.0,2024-11-18,New Delhi,Desktop,data analitics online
A1059,DataScienceB0otcamp,179.0,3025.0,238.81,17.0,3.0,0.017,1548.0,2024-11-11,New Delhi,Mobile,data analitics online
A1060,M@chneLearningBasics,166.0,5223.0,189.76,18.0,7.0,0.042,1219.0,2024-11-16,Chennai,Tablet,data analytics course
A1061,D3epLearnngPro,166.0,5089.0,209.76,26.0,7.0,0.042,1946.0,2024-11-11,Bangalore,Tablet,analytics for data
A1062,Sqldatabsetraining,118.0,5016.0,204.31,19.0,9.0,0.045,1833.0,2024-11-08,Bangalore,Desktop,analytics for data
A1063,dATAsCIENCEbOOTCAMP,185.0,3617.0,222.32,24.0,7.0,0.038,1963.0,2024-11-23,Bangalore,Mobile,data analytics course
A1064,Machnelearningbasics,116.0,3764.0,232.03,28.0,10.0,0.086,1348.0,2024-11-20,Bangalore,Tablet,data analytics course
A1065,AI_Marketing101_,99.0,4489.0,183.73,15.0,6.0,0.061,1264.0,2024-11-05,Mumbai,Desktop,online data analytic
A1066,BusinessAnlyticsClass_,172.0,4441.0,221.18,14.0,8.0,0.047,1771.0,2024-11-27,Bangalore,Mobile,analytics for data
A1067,DeepLearnngPro ,138.0,5751.0,199.11,26.0,9.0,0.052,1337.0,2024-11-10,Pune,Desktop,data analitics online
A1068,mACHNElEARNINGbASICS,84.0,4036.0,234.22,23.0,10.0,0.09122252747252749,1287.0,2024-11-04,Chennai,Desktop,learn data analytics
A1069,CyberSecurtyFund@mentals,124.0,4942.0,240.59,18.0,3.0,0.024,1922.0,2024-11-16,Chennai,Desktop,learn data analytics
A1070,Cl0udComputngCourse,122.0,4989.0,215.48,12.0,5.0,0.041,1975.0,2024-11-06,New Delhi,Mobile,data analitics online
A1071,Deeplearnngpro,180.0,3006.0,228.14,22.0,7.0,0.039,1556.0,2024-11-04,Mumbai,Tablet,learn data analytics
A1072,AI_Marketing101 ,133.0,3728.0,199.13,11.0,10.0,0.07518796992481203,1510.0,2024-11-09,Bangalore,Desktop,data analitics online
A1073,SQLDatabs3Training,164.0,3734.0,225.39,27.0,8.0,0.04,1728.0,2024-11-12,Pune,Tablet,learn data analytics
A1074,DataScienceB0otcamp,150.0,4621.0,246.3,15.0,6.0,0.049,1554.0,2024-11-09,Bangalore,Desktop,data analitics online
A1075,Machn3LearningBasics,97.0,3212.0,212.55,27.0,10.0,0.09122252747252749,1994.0,2024-11-23,Bangalore,Desktop,analytics for data
A1076,ai_mARKETING101,128.0,4225.0,228.24,30.0,4.0,0.031,1618.0,2024-11-08,Pune,Mobile,learn data analytics
A1077,Sqldatabsetraining,99.0,4779.0,233.78,26.0,10.0,0.09122252747252749,1086.0,2024-11-05,Pune,Desktop,online data analytic
A1078,CloudComputngCourse1,86.0,5352.0,234.05,11.0,5.0,0.058,1364.0,2024-11-09,Pune,Tablet,online data analytic
A1079,Python4D@ta,118.0,5405.0,187.28,25.0,7.0,0.058,1836.0,2024-11-05,New Delhi,Tablet,analytics for data
A1080,CloudComputngCourse,127.0,5430.0,199.13,14.0,6.0,0.047,1932.0,2024-11-25,Pune,Mobile,analytics for data
A1081,Deeplearnngpro,83.0,4808.0,241.35,20.0,7.0,0.084,1038.0,2024-11-30,Chennai,Mobile,learn data analytics
A1082,CyberSecurtyFundamentals,149.0,3587.0,217.53,23.0,8.0,0.053691275167785234,1464.0,2024-11-17,Pune,Mobile,data analitics online
A1083,WebDevMastery ,168.0,4683.0,215.28,30.0,8.0,0.048,1327.0,2024-11-28,Bangalore,Mobile,data analitics online
A1084,SQLD@tabseTraining,112.0,5814.0,227.38,11.0,8.0,0.071,1467.0,2024-11-03,Mumbai,Tablet,analytics for data
A1085,AI_Marketing101 ,123.0,3292.0,233.2,28.0,6.0,0.049,1174.0,2024-11-19,Pune,Desktop,data anaytics training
A1086,Sqldatabsetraining,174.0,4305.0,206.02,20.0,3.0,0.034,1057.0,2024-11-23,Pune,Desktop,learn data analytics
A1087,Businessanlyticsclass,143.0,4368.0,216.48,27.0,7.0,0.049,1199.0,2024-11-03,Mumbai,Tablet,analytics for data
A1088,CyberSecurtyFund@mentals,195.0,5935.0,209.68,23.0,9.0,0.046,1966.0,2024-11-07,Chennai,Tablet,online data analytic
A1089,WebDevM@stery,176.0,5847.0,241.04,13.0,6.0,0.034,1194.0,2024-11-02,Bangalore,Desktop,online data analytic
A1090,Machnelearningbasics,141.0,4851.0,227.39,28.0,5.0,0.03546099290780142,1821.0,2024-11-15,Delhi,Desktop,analytics for data
A1091,Cyb3rSecurtyFundamentals,108.0,4710.0,204.16,19.0,10.0,0.09122252747252749,1731.0,2024-11-20,Bangalore,Tablet,data analitics online
A1092,AI_Marketing1011,112.0,3345.0,216.48,11.0,6.0,0.047,1859.0,2024-11-23,Mumbai,Tablet,analytics for data
A1093,Cyb3rSecurtyFundamentals,143.0,5903.0,184.41,23.0,9.0,0.048,1188.0,2024-11-20,Bangalore,Tablet,online data analytic
A1094,CloudComputngCours3,145.0,5004.0,216.45,22.0,5.0,0.034,1496.0,2024-11-01,Chennai,Tablet,data analitics online
A1095,WebDevMastery_,183.0,3947.0,197.3,15.0,8.0,0.044,1645.0,2024-11-14,Mumbai,Desktop,data anaytics training
A1096,ai_mARKETING101,113.0,3690.0,229.42,20.0,5.0,0.044,1915.0,2024-11-28,Pune,Tablet,learn data analytics
A1097,bUSINESSaNLYTICScLASS,101.0,5943.0,187.32,27.0,6.0,0.059,1614.0,2024-11-15,Bangalore,Tablet,data analitics online
A1098,Machn3LearningBasics,189.0,5357.0,222.5,24.0,3.0,0.05,1839.0,2024-11-25,Bangalore,Tablet,data analytics course
A1099,Cl0udComputngCourse,154.0,3596.0,236.14,30.0,9.0,0.058,1036.0,2024-11-06,Mumbai,Tablet,online data analytic
A1100,Cybersecurtyfundamentals,179.0,5162.0,246.76,16.0,5.0,0.05,1052.0,2024-11-29,Delhi,Desktop,online data analytic
A1101,CloudComputngCourse,148.0,3747.0,244.41,18.0,8.0,0.054,1092.0,2024-11-17,Chennai,Tablet,learn data analytics
A1102,M@chneLearningBasics,177.0,4822.0,197.03,26.0,9.0,0.051,1909.0,2024-11-04,Pune,Mobile,online data analytic
A1103,Cl0udComputngCourse,119.0,5800.0,221.36,11.0,8.0,0.06722689075630252,1532.0,2024-11-29,Chennai,Desktop,analytics for data
A1104,W3bDevMastery,89.0,3594.0,216.48,14.0,6.0,0.067,1026.0,2024-11-15,Mumbai,Tablet,data analytics course
A1105,DataSci3nceBootcamp,146.0,4765.0,230.22,23.0,5.0,0.034,1944.0,2024-11-28,Pune,Tablet,analytics for data
A1106,CyberSecurtyFund@mentals,109.0,4128.0,183.65,12.0,5.0,0.045871559633027525,1488.5,2024-11-30,Mumbai,Desktop,data analitics online
A1107,CyberSecurtyFund@mentals,159.0,5127.0,197.16,21.0,4.0,0.025,1867.0,2024-11-03,Chennai,Tablet,learn data analytics
A1108,CloudComputngCourse,144.0,5674.0,235.36,12.0,3.0,0.021,1505.0,2024-11-22,Chennai,Desktop,analytics for data
A1109,Datasciencebootcamp,122.0,3793.0,237.22,19.0,8.0,0.066,1842.0,2024-11-20,Chennai,Tablet,online data analytic
A1110,Cyb3rSecurtyFundamentals,112.0,4315.0,235.33,28.0,9.0,0.08,1116.0,2024-11-08,Mumbai,Mobile,data analytics course
A1111,sqldATABSEtRAINING,174.0,4704.0,192.32,21.0,10.0,0.049,1501.0,2024-11-24,New Delhi,Mobile,learn data analytics
A1112,CyberSecurtyFundamentals_,168.0,3349.0,235.6,23.0,9.0,0.054,1894.0,2024-11-09,New Delhi,Mobile,online data analytic
A1113,mACHNElEARNINGbASICS,173.0,3501.0,223.9,28.0,10.0,0.044,1179.0,2024-11-25,Pune,Mobile,data analytics course
A1114,DataSci3nceBootcamp,91.0,4808.0,203.52,20.0,9.0,0.09122252747252749,1838.0,2024-11-20,Delhi,Desktop,data analytics course
A1115,MachneLearningBasics_,140.0,5405.0,195.69,21.0,8.0,0.05714285714285714,1094.0,2024-11-21,Bangalore,Desktop,data anaytics training
A1116,MachneLearningBasics,93.0,3425.0,229.76,26.0,4.0,0.043,1344.0,2024-11-24,New Delhi,Mobile,online data analytic
A1117,AI_M@rketing101,114.0,5263.0,189.13,23.0,5.0,0.044,1434.0,2024-11-05,Mumbai,Mobile,data analytics course
A1118,SQLDatabs3Training,172.0,3889.0,211.85,21.0,10.0,0.05813953488372093,1766.0,2024-11-16,Delhi,Tablet,online data analytic
A1119,Businessanlyticsclass,188.0,3327.0,193.76,24.0,6.0,0.047,1220.0,2024-11-03,Mumbai,Tablet,online data analytic
A1120,Datasciencebootcamp,117.0,4649.0,214.18,29.0,4.0,0.034,1348.0,2024-11-23,Bangalore,Mobile,learn data analytics
A1121,WebDevM@stery,113.0,5471.0,215.57,27.0,9.0,0.038,1123.0,2024-11-23,Mumbai,Mobile,analytics for data
A1122,AI_M@rketing101,109.0,3550.0,240.33,14.0,8.0,0.073,1982.0,2024-11-24,Bangalore,Tablet,learn data analytics
A1123,AI_Mark3ting101,174.0,3178.0,225.67,18.0,10.0,0.057,1140.0,2024-11-20,Bangalore,Desktop,data analitics online
A1124,BusinessAnlyticsCl@ss,96.0,4673.0,192.88,24.0,5.0,0.052,1962.0,2024-11-10,Chennai,Mobile,learn data analytics
A1125,Pyth0n4Data,110.0,4254.0,187.87,11.0,4.0,0.03636363636363636,1172.0,2024-11-04,Chennai,Mobile,data anaytics training
A1126,CyberSecurtyFundamentals,163.0,3658.0,237.63,23.0,7.0,0.043,1699.0,2024-11-23,Chennai,Tablet,online data analytic
A1127,SQLDatabseTraining ,161.0,5319.0,235.98,13.0,4.0,0.025,1423.0,2024-11-18,Bangalore,Mobile,learn data analytics
A1128,DeepLe@rnngPro,195.0,5278.0,193.49,30.0,7.0,0.047,1456.0,2024-11-04,Delhi,Mobile,data analytics course
A1129,mACHNElEARNINGbASICS,84.0,3755.0,218.88,14.0,9.0,0.047,1299.0,2024-11-05,Bangalore,Tablet,analytics for data
A1130,Python4D@ta,113.0,4580.0,194.82,11.0,6.0,0.059,1248.0,2024-11-28,Bangalore,Tablet,data analytics course
A1131,Cybersecurtyfundamentals,117.0,3809.0,225.14,12.0,5.0,0.032,1495.0,2024-11-09,Pune,Desktop,data anaytics training
A1132,MachneLearningBasics,135.0,5118.0,219.99,27.0,6.0,0.044,1089.0,2024-11-20,Delhi,Mobile,online data analytic
A1133,WebDevMastery,92.0,5766.0,186.14,28.0,7.0,0.076,1013.0,2024-11-27,Delhi,Tablet,data anaytics training
A1134,M@chneLearningBasics,188.0,3934.0,206.21,16.0,9.0,0.048,1531.5,2024-11-04,Delhi,Desktop,data analytics course
A1135,Pyth0n4Data,101.0,4724.0,228.38,13.0,7.0,0.034,1243.0,2024-11-20,Mumbai,Desktop,learn data analytics
A1136,Machnelearningbasics,111.0,5895.0,205.25,29.0,4.0,0.036,1693.0,2024-11-04,Mumbai,Mobile,data analytics course
A1137,cLOUDcOMPUTNGcOURSE,122.0,4048.0,202.23,28.0,10.0,0.082,1464.0,2024-11-26,Pune,Mobile,online data analytic
A1138,Cloudcomputngcourse,99.0,3169.0,237.68,21.0,6.0,0.06060606060606061,1509.0,2024-11-22,Pune,Mobile,online data analytic
A1139,cYBERsECURTYfUNDAMENTALS,154.0,4535.0,229.29,11.0,3.0,0.019,1434.0,2024-11-01,Pune,Tablet,data anaytics training
A1140,wEBdEVmASTERY,129.0,3849.0,249.29,22.0,10.0,0.078,1767.0,2024-11-11,New Delhi,Desktop,analytics for data
A1141,D@taScienceBootcamp,253.5,4259.0,182.98,10.0,10.0,0.031,1048.0,2024-11-16,Chennai,Mobile,analytics for data
A1142,CyberSecurtyFundamentals,143.0,3628.0,209.76,18.0,9.0,0.063,1566.0,2024-11-17,Bangalore,Tablet,data analytics course
A1143,WebDevM@stery,80.0,3269.0,213.5,12.0,4.0,0.05,1753.0,2024-11-23,Mumbai,Desktop,data analitics online
